fingerprint,source_countries,detected_country,protocol,transport,security,status,probe,latency_ms,attempts,recovered_on_retry,reason,first_reason,retry_reason
06c053c95eab25ccc7975bf0f778c4780b541a054becd0134ada66a31c7c9618,US,,vless,websocket,tls,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:54584->127.0.0.1:36099: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:47024->127.0.0.1:36099: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:54584->127.0.0.1:36099: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:47024->127.0.0.1:36099: read: connection reset by peer,
06d91e54de4c2d5c456da49672771eada7123677ec7f36d59256eb69ead9e4e4,GB,,vless,raw,reality,failed,,,1,False,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,
0745d6341053c4f46ede59ea0c3adb3845e70077261f41f3253beab51c1efeb8,RU,,vless,grpc,tls,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:37790->127.0.0.1:36583: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:47566->127.0.0.1:36583: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:37790->127.0.0.1:36583: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:47566->127.0.0.1:36583: read: connection reset by peer,
0768fe4f21a8a31a7312839b4799799b54ef1b90c558144e431f30fc31bbb5de,BG,,vless,websocket,tls,failed,,,2,False,http: http_status_failed: read tcp4 127.0.0.1:48480->127.0.0.1:38113: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:42184->127.0.0.1:38113: i/o timeout,http: http_status_failed: read tcp4 127.0.0.1:48480->127.0.0.1:38113: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:42184->127.0.0.1:38113: i/o timeout,http: http_status_failed: read tcp4 127.0.0.1:37048->127.0.0.1:43865: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:37050->127.0.0.1:43865: i/o timeout
07e22ffb3d26c5046ecdd1784d7966af0e8b154c602bf66f142bb791b1683cc5,RU,,vless,raw,reality,failed,,,1,False,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,
08655894997aec0f86ec7613e61b5ca33d651a5fa7bd67707ab0839f04ed70a0,US,,vmess,websocket,tls,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:54812->127.0.0.1:37069: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:60722->127.0.0.1:37069: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:54812->127.0.0.1:37069: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:60722->127.0.0.1:37069: read: connection reset by peer,
08c27562e26dda6c520a186ed8920a3fdf2eef76afc08c4b3f6927abed91ac83,US,,vless,grpc,tls,failed,,,1,False,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,
09c06d8674fb3ca6b75088d6ddeadb485c8e380e26da3d7d17be71ae25f18399,GB,,vless,raw,reality,failed,,,1,False,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,
0a06e33a1b5fec317e98a58c14e679dba55c5fd69654e938de5ecc2854ff29a7,GB,,vmess,websocket,tls,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:60846->127.0.0.1:36559: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:33690->127.0.0.1:36559: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:60846->127.0.0.1:36559: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:33690->127.0.0.1:36559: read: connection reset by peer,
0a721b4e819a12e3b445105080e554a30965b6ac6c63b6fe41dfbf9c55c403d8,GB,,vless,grpc,reality,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:53854->127.0.0.1:46573: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:46074->127.0.0.1:46573: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:53854->127.0.0.1:46573: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:46074->127.0.0.1:46573: read: connection reset by peer,
